B  E  A  R  D  .  P  A  W  S  .  B  O  M  B
U  S  T  O  O  .  A  S  A  P  .  P  U  I  A
G  Q  M  A  G  A  Z  I  N  E  .  M  E  L  D
.  .  .  R  S  S  .  S  T  E  W  .  F  D  T
F  A  N  S  S  T  E  .  A  D  A  P  T  E  T
A  L  E  .  T  U  X  E  D  O  S  H  I  R  T
C  O  W  .  S  T  A  R  .  .  H  I  M  .  .
E  T  C  H  .  E  M  I  R  S  .  L  E  A  K
.  .  A  A  S  .  .  C  O  P  Y  .  P  T  A
H  O  R  S  E  S  T  A  B  L  E  .  A  O  L
I  N  S  H  A  P  E  .  S  I  L  L  Y  M  E
H  E  M  .  M  A  A  M  .  F  L  U  .  .  .
A  S  A  R  .  S  T  U  D  F  I  N  D  E  R
T  I  L  L  .  M  A  G  E  .  N  A  I  V  E
S  E  L  L  .  S  X  S  W  .  G  R  E  E  D
