E  M  S  .  P  I  T  A  S  .  H  A  N  N  A
M  E  L  .  Â  C  U  T  E  .  S  K  I  R  T
O  L  E  T  T  E  B  A  R  .  H  I  N  C  E
R  E  D  E  É  M  E  R  .  L  A  P  .  .  .
Y  E  S  M  .  A  R  I  M  A  -  -  C  O  L
.  .  .  P  E  N  .  .  O  D  -  -  H  R  E
M  A  N  E  D  .  A  O  N  E  .  .  E  E  A
S  P  O  R  T  S  C  O  T  N  T  A  S  O  R
N  O  I  .  .  L  U  N  H  .  S  I  S  S  Y
B  L  S  O  M  E  R  .  .  G  E  M  .  .  .
C  O  E  T  U  P  A  -  M  Y  .  S  H  E  A
.  .  .  T  E  T  .  B  A  R  R  A  C  K  S
A  T  L  A  S  .  -  -  T  B  O  T  S  T  -
D  R  A  W  L  .  P  E  I  A  L  .  S  E  T
D  U  B  A  I  .  P  R  F  G  O  .  E  R  A
