S  -  -  R  -  .  S  P  O  O  N  .  Q  E  D
A  R  -  O  O  .  C  H  I  N  O  .  U  S  A
-  -  -  -  -  -  O  O  -  -  -  .  I  S  M
S  -  A  .  .  R  U  T  .  .  T  A  C  O  S
.  .  .  B  E  E  R  O  C  -  O  C  K  .  .
.  -  O  -  E  -  .  .  H  -  N  E  S  T  Y
U  N  I  -  E  .  -  E  A  -  .  .  T  O  M
-  -  -  -  -  -  -  -  O  E  -  -  -  -  -
-  -  -  .  .  -  -  -  S  .  H  -  -  E  -
L  O  O  -  E  -  S  .  .  P  R  -  -  K  .
.  .  M  I  N  -  -  -  -  R  E  -  .  .  .
U  M  A  M  -  .  .  I  B  M  .  .  E  B  B
B  -  R  .  -  -  A  -  -  -  -  -  -  -  -
E  -  E  .  -  -  -  -  Y  .  G  A  L  B  I
R  -  S  .  E  -  I  A  N  .  -  A  -  -  S
