E  G  P  O  S  .  M  E  S  H  .  V  E  T  O
D  R  L  O  P  .  E  S  A  U  .  O  M  E  N
D  O  A  H  E  I  M  P  O  S  S  I  B  L  E
I  O  N  .  C  O  M  E  .  H  A  L  A  L  .
E  M  P  A  T  H  S  .  T  H  W  A  R  T  S
.  .  .  P  R  O  .  Z  E  U  S  .  R  A  N
.  .  T  A  U  .  P  E  A  S  .  T  A  L  L
.  F  A  R  M  E  R  S  C  H  E  E  S  E  .
R  A  P  T  .  S  E  T  H  .  Y  E  S  .  .
O  D  D  .  T  O  P  S  .  W  E  T  .  .  .
T  E  A  P  O  T  S  .  P  O  P  H  T  T  S
.  S  N  A  R  E  .  A  U  R  A  .  M  O  I
D  O  C  T  O  R  O  F  L  E  T  T  E  R  S
R  U  E  S  .  I  R  A  S  .  C  O  A  T  S
E  T  S  Y  .  C  A  R  E  .  H  O  N  E  Y
