-  M  -  .  P  I  T  A  S  .  H  A  -  -  A
M  E  L  .  -  -  -  -  -  .  S  K  I  R  -
-  L  -  T  -  -  -  -  -  .  H  I  N  -  E
R  E  D  E  -  M  E  R  .  L  A  P  .  .  .
Y  E  S  M  .  -  -  -  -  -  -  -  -  -  -
.  .  .  P  E  N  .  .  -  -  -  -  -  -  -
M  -  N  E  D  .  -  -  N  E  .  .  -  E  A
S  -  -  R  -  -  -  O  -  -  T  -  -  -  -
N  -  -  .  .  L  U  N  -  .  S  I  S  S  Y
B  L  -  O  M  E  R  .  .  G  E  M  .  .  .
C  -  -  -  U  -  -  -  -  -  .  S  H  E  A
.  .  .  T  E  T  .  -  -  -  -  A  -  -  S
A  T  L  A  S  .  -  -  -  -  -  -  S  -  -
D  R  A  W  L  .  P  E  -  A  L  .  S  E  T
D  U  B  A  I  .  P  R  -  G  O  .  E  R  A
